,x,y,z,projection,Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B52B0411_1,195310.0,398480.0,17.14,epsg:28992,B52B0411,001,52BL0010,195310,398480,1954,10-03-2016,10-03-2016,18-12-2018,1940,-32,1739,1689
B46C0257_1,189773.0,407814.0,9.82,epsg:28992,B46C0257,001,,189773,407814,1276,26-04-2006,05-01-2011,17-01-2017,1346,,1032,932
B46C0256_1,189291.0,406411.0,10.52,epsg:28992,B46C0256,001,,189291,406411,1330,05-01-2011,05-01-2011,13-09-2018,1400,,1102,1002
B46D0791_1,193990.0,406450.0,5.199999999999999,epsg:28992,B46D0791,001,46DB0012,193990,406450,1250,14-06-1950,14-10-1960,28-12-1991,1247,-3,870,170
B46D0790_1,193940.0,406540.0,7.33,epsg:28992,B46D0790,001,46DB0011,193940,406540,1244,14-06-1950,14-10-1960,28-12-1991,1251,7,1083,383
B46D0826_1,192792.0,406729.0,9.87,epsg:28992,B46D0826,001,46DP0092,192792,406729,1379,05-01-2011,05-01-2011,13-09-2018,1446,67,1087,887
B46D0827_1,192693.0,405748.0,9.58,epsg:28992,B46D0827,001,46DP0093,192693,405748,1398,10-01-2011,10-01-2011,13-09-2018,1383,-15,1058,858
B46D0982_1,195700.0,405350.0,,epsg:28992,B46D0982,001,46DL0018,195700,405350,1154,08-01-2018,08-01-2018,19-12-2018,1216,57,1166,
B46D0983_1,192950.0,404140.0,,epsg:28992,B46D0983,001,46DL0019,192950,404140,,,03-05-1962,14-05-1982,,-8,,
B46D0818_1,191405.0,407035.0,11.04,epsg:28992,B46D0818,001,46DP0084,191405,407035,1297,15-09-1980,15-09-1980,14-01-1986,1295,-2,1154,1054
B46D0819_1,191690.0,406870.0,11.29,epsg:28992,B46D0819,001,46DP0085,191690,406870,1329,29-03-1989,29-03-1989,28-01-2003,1324,-5,1179,1079
