Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,22-01-2021,,,,,,,,
Gegevens beschikbaar:,28-09-1964,tot:,28-08-1969,,,,,,,,
Datum: ,22-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46C0190,001,46CL0023,189380,404570,,,28-09-1964,14-05-1965,,-17,,
B46C0190,001,46CL0023,189380,404570,,,14-05-1965,14-09-1969,,12,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B46C0190,001,28-09-1964,197,214,,,,,,,
B46C0190,001,14-10-1964,197,214,,,,,,,
B46C0190,001,28-10-1964,194,211,,,,,,,
B46C0190,001,16-11-1964,192,209,,,,,,,
B46C0190,001,01-12-1964,186,203,,,,,,,
B46C0190,001,14-12-1964,174,191,,,,,,,
B46C0190,001,31-12-1964,153,170,,,,,,,
B46C0190,001,15-01-1965,103,120,,,,,,,
B46C0190,001,30-01-1965,112,129,,,,,,,
B46C0190,001,18-02-1965,120,137,,,,,,,
B46C0190,001,27-02-1965,130,147,,,,,,,
B46C0190,001,16-03-1965,145,162,,,,,,,
B46C0190,001,05-04-1965,143,160,,,,,,,
B46C0190,001,16-04-1965,149,166,,,,,,,
B46C0190,001,28-04-1965,121,138,,,,,,,
B46C0190,001,14-05-1965,144,132,,,,,,,
B46C0190,001,28-05-1965,175,163,,,,,,,
B46C0190,001,14-06-1965,180,168,,,,,,,
B46C0190,001,28-06-1965,186,174,,,,,,,
B46C0190,001,16-07-1965,193,181,,,,,,,
B46C0190,001,28-07-1965,174,162,,,,,,,
B46C0190,001,15-08-1965,184,172,,,,,,,
B46C0190,001,28-08-1965,190,178,,,,,,,
B46C0190,001,17-09-1965,175,163,,,,,,,
B46C0190,001,28-09-1965,190,178,,,,,,,
B46C0190,001,14-10-1965,114,102,,,,,,,
B46C0190,001,28-10-1965,114,102,,,,,,,
B46C0190,001,14-11-1965,114,102,,,,,,,
B46C0190,001,29-11-1965,116,104,,,,,,,
B46C0190,001,14-12-1965,106,94,,,,,,,
B46C0190,001,28-12-1965,111,99,,,,,,,
B46C0190,001,15-01-1966,96,84,,,,,,,
B46C0190,001,28-01-1966,127,115,,,,,,,
B46C0190,001,14-02-1966,92,80,,,,,,,
B46C0190,001,28-02-1966,101,89,,,,,,,
B46C0190,001,14-03-1966,114,102,,,,,,,
B46C0190,001,28-03-1966,96,84,,,,,,,
B46C0190,001,14-04-1966,113,101,,,,,,,
B46C0190,001,28-04-1966,102,90,,,,,,,
B46C0190,001,14-05-1966,119,107,,,,,,,
B46C0190,001,17-05-1966,141,129,,,,,,,
B46C0190,001,14-06-1966,161,149,,,,,,,
B46C0190,001,01-07-1966,142,130,,,,,,,
B46C0190,001,14-07-1966,145,133,,,,,,,
B46C0190,001,28-07-1966,144,132,,,,,,,
B46C0190,001,15-08-1966,140,128,,,,,,,
B46C0190,001,28-08-1966,159,147,,,,,,,
B46C0190,001,14-09-1966,171,159,,,,,,,
B46C0190,001,28-09-1966,181,169,,,,,,,
B46C0190,001,28-10-1966,185,173,,,,,,,
B46C0190,001,15-11-1966,175,163,,,,,,,
B46C0190,001,28-11-1966,146,134,,,,,,,
B46C0190,001,14-12-1966,105,93,,,,,,,
B46C0190,001,28-12-1966,98,86,,,,,,,
B46C0190,001,14-01-1967,100,88,,,,,,,
B46C0190,001,28-01-1967,110,98,,,,,,,
B46C0190,001,14-02-1967,117,105,,,,,,,
B46C0190,001,28-02-1967,119,107,,,,,,,
B46C0190,001,14-03-1967,120,108,,,,,,,
B46C0190,001,28-03-1967,127,115,,,,,,,
B46C0190,001,14-04-1967,125,113,,,,,,,
B46C0190,001,28-04-1967,131,119,,,,,,,
B46C0190,001,14-05-1967,136,124,,,,,,,
B46C0190,001,28-05-1967,145,133,,,,,,,
B46C0190,001,14-06-1967,150,138,,,,,,,
B46C0190,001,28-06-1967,158,146,,,,,,,
B46C0190,001,14-07-1967,164,152,,,,,,,
B46C0190,001,28-07-1967,172,160,,,,,,,
B46C0190,001,16-08-1967,179,167,,,,,,,
B46C0190,001,28-08-1967,181,169,,,,,,,
B46C0190,001,21-09-1967,189,177,,,,,,,
B46C0190,001,28-09-1967,187,175,,,,,,,
B46C0190,001,14-10-1967,189,177,,,,,,,
B46C0190,001,28-10-1967,187,175,,,,,,,
B46C0190,001,14-11-1967,182,170,,,,,,,
B46C0190,001,28-11-1967,187,175,,,,,,,
B46C0190,001,14-12-1967,182,170,,,,,,,
B46C0190,001,28-12-1967,162,150,,,,,,,
B46C0190,001,15-01-1968,124,112,,,,,,,
B46C0190,001,29-01-1968,119,107,,,,,,,
B46C0190,001,20-02-1968,121,109,,,,,,,
B46C0190,001,01-03-1968,125,113,,,,,,,
B46C0190,001,15-03-1968,127,115,,,,,,,
B46C0190,001,28-03-1968,128,116,,,,,,,
B46C0190,001,16-04-1968,130,118,,,,,,,
B46C0190,001,27-04-1968,133,121,,,,,,,
B46C0190,001,14-05-1968,138,126,,,,,,,
B46C0190,001,28-05-1968,142,130,,,,,,,
B46C0190,001,14-06-1968,147,135,,,,,,,
B46C0190,001,28-06-1968,149,137,,,,,,,
B46C0190,001,14-07-1968,155,143,,,,,,,
B46C0190,001,28-07-1968,158,146,,,,,,,
B46C0190,001,16-08-1968,163,151,,,,,,,
B46C0190,001,28-08-1968,167,155,,,,,,,
B46C0190,001,13-09-1968,165,153,,,,,,,
B46C0190,001,29-09-1968,159,147,,,,,,,
B46C0190,001,18-10-1968,154,142,,,,,,,
B46C0190,001,28-10-1968,154,142,,,,,,,
B46C0190,001,15-11-1968,153,141,,,,,,,
B46C0190,001,28-11-1968,154,142,,,,,,,
B46C0190,001,14-12-1968,156,144,,,,,,,
B46C0190,001,28-12-1968,158,146,,,,,,,
B46C0190,001,14-01-1969,158,146,,,,,,,
B46C0190,001,28-01-1969,158,146,,,,,,,
B46C0190,001,28-02-1969,130,118,,,,,,,
B46C0190,001,14-03-1969,131,119,,,,,,,
B46C0190,001,28-03-1969,130,118,,,,,,,
B46C0190,001,15-04-1969,133,121,,,,,,,
B46C0190,001,28-04-1969,132,120,,,,,,,
B46C0190,001,14-05-1969,135,123,,,,,,,
B46C0190,001,28-05-1969,135,123,,,,,,,
B46C0190,001,14-06-1969,140,128,,,,,,,
B46C0190,001,28-06-1969,143,131,,,,,,,
B46C0190,001,14-07-1969,150,138,,,,,,,
B46C0190,001,27-07-1969,150,138,,,,,,,
B46C0190,001,14-08-1969,161,149,,,,,,,
B46C0190,001,28-08-1969,164,152,,,,,,,
