Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,22-01-2021,,,,,,,,
Gegevens beschikbaar:,14-01-1988,tot:,15-10-2009,,,,,,,,
Datum: ,22-01-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46D1035,001,,190105,405945,1385,13-09-1984,13-09-1984,28-01-2010,1373,-12,1225,1025


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B46D1035,001,14-01-1988,68,80,1305,,,,,,
B46D1035,001,28-01-1988,42,54,1331,,,,,,
B46D1035,001,12-02-1988,53,65,1320,,,,,,
B46D1035,001,29-02-1988,63,75,1310,,,,,,
B46D1035,001,15-03-1988,45,57,1328,,,,,,
B46D1035,001,29-03-1988,41,53,1332,,,,,,
B46D1035,001,14-04-1988,80,92,1293,,,,,,
B46D1035,001,28-04-1988,86,98,1287,,,,,,
B46D1035,001,16-05-1988,90,102,1283,,,,,,
B46D1035,001,27-05-1988,83,95,1290,,,,,,
B46D1035,001,14-06-1988,93,105,1280,,,,,,
B46D1035,001,28-06-1988,106,118,1267,,,,,,
B46D1035,001,14-07-1988,93,105,1280,,,,,,
B46D1035,001,28-07-1988,66,78,1307,,,,,,
B46D1035,001,15-08-1988,91,103,1282,,,,,,
B46D1035,001,29-08-1988,94,106,1279,,,,,,
B46D1035,001,14-09-1988,101,113,1272,,,,,,
B46D1035,001,28-09-1988,47,59,1326,,,,,,
B46D1035,001,13-10-1988,62,74,1311,,,,,,
B46D1035,001,28-10-1988,77,89,1296,,,,,,
B46D1035,001,14-11-1988,91,103,1282,,,,,,
B46D1035,001,28-11-1988,90,102,1283,,,,,,
B46D1035,001,14-12-1988,68,80,1305,,,,,,
B46D1035,001,28-12-1988,66,78,1307,,,,,,
