;Head [m] B19C1016001_HEEMSKERK;Prec [m/d] 257_WIJK_AAN_ZEE;Evap [m/d] 257_WIJK_AAN_ZEE;Temp [C] 257_WIJK_AAN_ZEE
1939-03-10;2.42;;;
1939-03-24;2.44;;;
1939-04-03;2.4;;;
1939-04-17;2.32;;;
1939-04-28;2.3;;;
1939-05-17;2.25;;;
1939-05-31;2.11;;;
1939-06-07;2.04;;;
1939-06-20;2.0;;;
1939-07-03;1.9;;;
1939-07-17;1.85;;;
1939-08-01;1.98;;;
1939-08-15;1.91;;;
1939-08-30;1.8;;;
1939-09-13;1.86;;;
1939-09-27;1.84;;;
1939-10-11;1.85;;;
1939-10-25;2.2;;;
1939-11-08;2.24;;;
1939-11-22;2.37;;;
1939-12-06;2.46;;;
1939-12-20;2.35;;;
1940-01-04;2.3;;;
1940-01-17;2.25;;;
1940-02-28;2.41;;;
1940-03-20;2.47;;;
1940-04-03;2.41;;;
1940-04-17;2.36;;;
1940-05-01;2.36;;;
1940-05-31;2.3;;;
1940-06-12;2.08;;;
1940-06-26;2.11;;;
1940-07-10;2.1;;;
1940-07-25;2.05;;;
1940-08-07;1.98;;;
1940-08-21;2.03;;;
1940-09-04;1.92;;;
1940-09-18;2.05;;;
1940-10-02;2.07;;;
1940-10-16;2.08;;;
1940-10-30;2.03;;;
1940-11-15;2.42;;;
1940-11-27;2.42;;;
1940-12-12;2.54;;;
1940-12-24;2.44;;;
1941-01-08;2.7;;;
1941-01-24;2.84;;;
1941-02-05;2.75;;;
1941-02-19;2.54;;;
1941-03-06;2.55;;;
1941-03-19;2.46;;;
1941-04-02;2.51;;;
1941-04-16;2.41;;;
1941-04-30;2.35;;;
1941-05-14;2.24;;;
1941-05-28;2.3;;;
1941-06-11;2.13;;;
1941-06-25;2.0;;;
1941-07-09;1.87;;;
1941-07-23;1.87;;;
1941-08-07;1.95;;;
1941-08-20;2.02;;;
1941-09-03;1.97;;;
1941-09-18;1.89;;;
1941-10-01;1.86;;;
1941-10-17;2.17;;;
1941-10-29;2.31;;;
1941-11-12;2.27;;;
1941-11-26;2.22;;;
1941-12-11;2.27;;;
1941-12-24;2.25;;;
1942-01-07;2.28;;;
1942-02-18;2.28;;;
1942-03-04;2.19;;;
1942-03-18;2.34;;;
1942-04-01;2.28;;;
1942-04-15;2.17;;;
1942-04-29;2.09;;;
1942-05-13;2.05;;;
1942-05-29;2.05;;;
1942-06-10;1.96;;;
1942-06-24;1.96;;;
1942-07-08;1.88;;;
1942-07-22;2.17;;;
1942-08-05;2.13;;;
1942-08-19;2.06;;;
1942-09-02;2.15;;;
1942-09-16;1.98;;;
1942-10-01;2.26;;;
1942-10-14;2.26;;;
1942-10-28;2.28;;;
1942-11-11;2.42;;;
1942-11-25;1.32;;;
1942-12-09;2.37;;;
1942-12-23;2.37;;;
1943-01-06;2.42;;;
1943-01-20;2.4;;;
1943-02-03;2.48;;;
1943-02-17;2.34;;;
1943-03-03;2.24;;;
1943-03-17;2.18;;;
1943-03-31;2.18;;;
1943-04-14;2.13;;;
1943-07-21;1.73;;;
1943-08-04;1.76;;;
1943-08-18;1.89;;;
1943-09-01;1.89;;;
1946-02-28;2.33;;;
1946-03-15;2.25;;;
1946-03-27;2.22;;;
1946-04-10;2.14;;;
1946-04-24;2.09;;;
1946-05-08;2.06;;;
1946-05-22;1.98;;;
1946-06-05;2.1;;;
1946-06-19;2.1;;;
1946-07-03;2.05;;;
1946-07-17;2.0;;;
1946-07-31;1.95;;;
1946-08-14;1.83;;;
1946-08-28;2.05;;;
1946-09-11;2.12;;;
1946-09-25;2.31;;;
1946-10-09;2.14;;;
1946-10-23;2.09;;;
1946-11-06;2.19;;;
1946-11-20;2.34;;;
1946-12-04;2.3;;;
1946-12-18;2.19;;;
1946-12-31;2.2;;;
1947-01-15;2.19;;;
1947-03-26;2.43;;;
1947-04-09;2.4;;;
1947-04-23;2.26;;;
1947-05-07;2.32;;;
1947-05-21;2.2;;;
1947-06-18;2.1;;;
1947-07-02;2.03;;;
1947-07-16;2.14;;;
1947-07-30;1.98;;;
1947-09-24;1.9;;;
1947-10-08;1.85;;;
1951-05-09;2.2;;;
1951-05-28;2.11;;;
1951-06-14;2.02;;;
1951-06-28;2.16;;;
1951-07-14;2.09;;;
1951-07-28;1.95;;;
1951-08-14;2.01;;;
1951-08-28;2.01;;;
1951-09-14;2.07;;;
1951-09-28;2.02;;;
1951-10-15;1.92;;;
1951-10-29;1.94;;;
1951-11-14;2.14;;;
1951-11-28;2.24;;;
1951-12-14;2.2;;;
1951-12-28;2.35;;;
1952-01-14;2.34;;;
1952-01-30;2.36;;;
1952-02-15;2.32;;;
1952-02-28;2.2;;;
1952-03-14;2.17;;;
1952-03-28;2.2;;;
1952-04-15;2.17;;;
1952-04-28;2.1;;;
1952-05-14;2.03;;;
1952-05-28;1.98;;;
1952-06-14;1.9;;;
1952-06-28;1.92;;;
1952-07-14;1.84;;;
1952-07-28;1.8;;;
1952-08-14;1.8;;;
1952-08-28;1.77;;;
1952-09-15;1.8;;;
1952-09-29;2.17;;;
1952-10-14;2.23;;;
1952-10-28;2.2;;;
1952-11-14;2.33;;;
1952-12-02;2.2;;;
1952-12-29;2.35;;;
1953-01-14;2.2;;;
1953-01-28;2.2;;;
1953-02-14;2.35;;;
1953-02-28;2.2;;;
1953-03-14;2.15;;;
1953-03-28;2.1;;;
1953-04-14;2.1;;;
1953-04-28;2.1;;;
1953-05-15;2.0;;;
1953-05-28;1.97;;;
1953-06-15;1.99;;;
1953-06-29;1.92;;;
1953-07-14;1.87;;;
1953-07-28;1.75;;;
1953-08-14;1.7;;;
1953-08-28;1.85;;;
1953-09-14;1.8;;;
1953-09-28;1.95;;;
1953-10-14;1.83;;;
1953-10-28;1.82;;;
1953-11-14;1.9;;;
1953-11-28;1.82;;;
1953-12-14;1.8;;;
1953-12-28;1.99;;;
1954-01-14;2.05;;;
1954-01-28;1.97;;;
1954-02-15;2.0;;;
1954-03-01;2.05;;;
1954-03-15;2.05;;;
1954-03-29;2.03;;;
1954-04-14;1.96;;;
1954-04-28;1.9;;;
1954-05-14;1.8;;;
1954-05-28;1.75;;;
1954-06-14;1.85;;;
1954-06-28;1.77;;;
1954-07-14;1.73;;;
1954-07-28;1.98;;;
1954-08-14;1.94;;;
1954-08-28;2.0;;;
1954-09-14;1.92;;;
1954-09-28;2.0;;;
1954-10-14;2.0;;;
1954-10-28;2.1;;;
1954-11-15;2.15;;;
1954-11-29;2.15;;;
1954-12-14;2.2;;;
1954-12-28;2.17;;;
1955-01-21;2.18;;;
1955-01-28;2.2;;;
1955-02-15;2.2;;;
1955-02-28;2.1;;;
1955-03-14;2.07;;;
1955-03-28;2.15;;;
1955-04-14;2.07;;;
1955-04-28;2.0;;;
1955-05-14;2.0;;;
1955-05-28;1.94;;;
1955-06-14;1.85;;;
1955-06-28;1.8;;;
1955-07-14;1.85;;;
1955-08-15;1.75;;;
1955-08-29;1.7;;;
1955-09-14;1.8;;;
1955-09-28;1.92;;;
1955-10-14;1.92;;;
1955-10-28;2.1;;;
1955-11-14;2.05;;;
1955-11-28;2.02;;;
1955-12-14;2.1;;;
1955-12-28;2.17;;;
1956-01-14;2.25;;;
1956-01-28;2.3;;;
1956-02-28;2.1;;;
1956-03-14;2.2;;;
1956-03-28;2.1;;;
1956-04-14;2.2;;;
1956-04-28;2.02;;;
1956-05-14;1.97;;;
1956-05-28;1.95;;;
1956-06-14;1.9;;;
1956-06-28;1.82;;;
1956-07-14;1.82;;;
1956-07-28;1.8;;;
1956-08-14;1.9;;;
1956-08-28;2.0;;;
1956-09-14;2.0;;;
1956-09-28;1.8;;;
1956-10-15;1.92;;;
1956-10-29;1.99;;;
1956-11-14;1.92;;;
1956-11-28;1.95;;;
1956-12-14;2.03;;;
1956-12-28;1.98;;;
1957-01-14;2.02;;;
1957-01-28;1.96;;;
1957-02-14;2.13;;;
1957-02-28;2.07;;;
1957-03-14;2.0;;;
1957-03-28;2.15;;;
1957-04-15;1.99;;;
1957-04-29;1.92;;;
1957-05-14;1.98;;;
1957-05-28;1.82;;;
1957-06-14;1.75;;;
1957-06-28;1.67;;;
1957-07-15;1.72;;;
1957-07-29;1.82;;;
1957-08-14;2.0;;;
1957-08-28;2.18;;;
1957-09-14;2.17;;;
1957-09-28;2.18;;;
1957-10-14;2.07;;;
1957-10-28;2.13;;;
1957-11-14;2.2;;;
1957-11-28;2.18;;;
1957-12-14;2.2;;;
1957-12-28;2.14;;;
1958-01-14;2.35;;;
1958-01-28;2.37;;;
1958-02-14;2.35;;;
1958-03-03;2.45;;;
1958-03-14;2.35;;;
1958-03-29;2.4;;;
1958-04-14;2.2;;;
1958-04-28;2.2;;;
1958-05-14;2.02;;;
1958-05-28;2.18;;;
1958-06-14;2.0;;;
1958-06-28;2.0;;;
1958-07-14;1.89;;;
1958-07-28;1.85;;;
1958-08-14;1.8;;;
1958-08-28;1.82;;;
1958-09-15;1.75;;;
1958-09-29;1.95;;;
1958-10-14;2.0;;;
1958-10-28;1.97;;;
1958-11-14;2.0;;;
1958-11-28;1.98;;;
1958-12-15;2.05;;;
1958-12-29;2.1;;;
1959-01-15;2.25;;;
1959-01-28;2.2;;;
1959-02-14;2.13;;;
1959-02-28;2.1;;;
1959-03-14;2.07;;;
1959-03-27;2.15;;;
1959-04-14;2.07;;;
1959-04-28;2.05;;;
1959-05-14;1.98;;;
1959-05-28;1.94;;;
1959-06-15;1.8;;;
1959-06-29;1.9;;;
1959-07-14;1.72;;;
1959-07-28;1.6;;;
1959-08-14;1.72;;;
1959-08-28;1.47;;;
1959-09-14;1.45;;;
1959-09-28;1.45;;;
1959-10-14;1.5;;;
1959-10-28;1.8;;;
1959-11-14;1.97;;;
1959-11-28;2.0;;;
1959-12-14;1.97;;;
1959-12-28;2.08;;;
1960-01-16;2.03;;;
1960-01-28;2.18;;;
1960-02-16;2.18;;;
1960-02-29;2.16;;;
1960-03-14;2.1;;;
1960-03-28;2.05;;;
1960-04-19;2.01;;;
1960-04-28;1.97;;;
1960-05-14;2.01;;;
1960-05-28;1.91;;;
1960-06-14;1.83;;;
1960-06-28;1.73;;;
1960-07-14;1.95;;;
1960-07-28;1.88;;;
1960-08-15;2.01;;;
1960-08-29;2.01;;;
1960-09-14;1.97;;;
1960-09-28;1.93;;;
1960-10-14;2.23;;;
1960-10-28;2.18;;;
1960-11-14;2.23;;;
1960-11-28;2.53;;;
1960-12-14;2.48;;;
1960-12-28;2.38;;;
1961-01-14;2.53;;;
1961-01-28;2.38;;;
1961-02-14;2.4;;;
1961-02-28;2.31;;;
1961-03-14;2.28;;;
1961-03-28;2.23;;;
1961-04-14;2.32;;;
1961-04-28;2.23;;;
1961-05-15;2.18;;;
1961-05-29;2.11;;;
1961-06-14;2.1;;;
1961-06-28;2.05;;;
1961-07-14;2.05;;;
1961-07-28;2.02;;;
1961-08-14;1.91;;;
1961-08-28;1.92;;;
1961-09-14;2.13;;;
1961-09-28;2.08;;;
1961-10-14;1.95;;;
1961-10-27;2.25;;;
1961-11-14;2.28;;;
1961-11-28;2.28;;;
1961-12-14;2.6;;;
1961-12-28;2.28;;;
1962-01-15;2.48;;;
1962-01-29;2.4;;;
1962-02-14;2.43;;;
1962-02-28;2.28;;;
1962-03-14;2.35;;;
1962-03-28;2.23;;;
1962-04-13;2.4;;;
1962-04-27;2.31;;;
1962-05-14;2.23;;;
1962-05-28;2.23;;;
1962-06-14;2.1;;;
1962-06-28;2.03;;;
1962-07-13;2.0;;;
1962-07-27;1.93;;;
1962-08-14;1.99;;;
1962-08-28;1.93;;;
1962-09-14;1.91;;;
1962-09-28;1.94;;;
1962-10-15;1.86;;;
1962-10-29;2.03;;;
1962-11-14;2.0;;;
1962-11-28;2.03;;;
1962-12-14;2.13;;;
1963-03-14;2.31;;;
1963-03-28;2.23;;;
1963-04-16;2.2;;;
1963-04-29;2.13;;;
1963-05-14;2.23;;;
1963-05-28;2.15;;;
1963-06-14;2.08;;;
1963-06-18;2.03;;;
1963-07-15;1.99;;;
1963-09-27;2.1;;;
1963-10-14;2.1;;;
1963-10-28;2.05;;;
1963-11-14;2.11;;;
1963-11-28;2.28;;;
