;Head [m] B55A0354001_HULST;Prec [m/d] 319_WESTDORPE;Evap [m/d] 319_WESTDORPE;Temp [C] 319_WESTDORPE
1937-08-11;1.3;;;
1937-08-25;1.52;;;
1937-09-15;1.38;;;
1937-09-29;1.42;;;
1937-10-06;1.37;;;
1937-10-28;1.34;;;
1937-11-03;1.25;;;
1937-11-17;1.27;;;
1938-03-16;1.91;;;
1938-05-18;1.68;;;
1938-06-08;1.56;;;
1938-06-22;1.45;;;
1938-07-06;1.37;;;
1938-07-30;1.17;;;
1938-08-17;1.12;;;
1938-09-01;1.08;;;
1938-09-14;0.99;;;
1938-10-26;0.86;;;
1938-11-30;0.98;;;
1939-05-03;1.69;;;
1939-05-24;1.68;;;
1939-06-16;1.38;;;
1939-06-29;1.19;;;
1939-07-13;1.13;;;
1939-07-27;1.17;;;
1939-08-24;0.97;;;
1940-03-06;2.11;;;
1940-04-03;2.04;;;
1940-04-17;2.0;;;
1940-05-08;1.89;;;
1940-07-31;2.07;;;
1940-08-14;1.98;;;
1940-08-29;1.95;;;
1941-11-13;1.25;;;
1941-11-28;1.29;;;
1942-01-14;1.92;;;
1942-01-29;1.95;;;
1942-02-10;1.97;;;
1942-02-26;2.06;;;
1942-03-10;2.0;;;
1942-03-25;1.94;;;
1942-04-08;2.04;;;
1942-04-23;2.0;;;
1942-05-05;1.89;;;
1942-05-20;1.15;;;
1942-06-18;1.13;;;
1942-06-30;0.97;;;
1942-07-15;0.95;;;
1942-07-28;0.08;;;
1942-08-14;0.03;;;
1942-08-27;1.16;;;
1942-09-10;1.26;;;
1942-09-24;1.18;;;
1942-10-09;1.23;;;
1942-10-23;1.34;;;
1942-11-05;1.41;;;
1942-11-19;1.33;;;
1942-12-03;1.25;;;
1942-12-16;1.3;;;
1943-01-07;1.76;;;
1943-01-21;1.96;;;
1943-02-11;1.97;;;
1943-02-25;1.99;;;
1943-03-12;1.95;;;
1943-03-25;1.82;;;
1943-04-07;1.71;;;
1943-04-20;1.36;;;
1943-05-12;1.31;;;
1943-05-27;1.18;;;
1943-06-17;1.02;;;
1943-07-01;0.07;;;
1943-07-16;0.95;;;
1943-07-28;0.78;;;
1943-08-12;0.88;;;
1943-09-01;0.48;;;
1943-12-21;0.96;;;
1944-01-05;0.99;;;
